epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,77.3618,1.7483,6.095,0.0034,0,0,0,0,1.0471,6.16208,0.00364,0.00222084,0.000740281,0.00222084,0.000740281,0.00222084,0.000740281,0.00222084,0.000740281
34,79.244,1.33952,6.47776,0.00251,0,0,0,0,1.0471,6.16208,0.00364,0.00225601,0.000752002,0.00225601,0.000752002,0.00225601,0.000752002,0.00225601,0.000752002
35,81.2611,1.26584,5.58527,0.00266,0.00126,0.25,0.24782,0.17348,1.0394,6.04111,0.00367,0.00228919,0.000763063,0.00228919,0.000763063,0.00228919,0.000763063,0.00228919,0.000763063
36,83.2618,1.56319,5.57835,0.00304,0.00128,0.25,0.24783,0.17348,1.00015,5.93203,0.00355,0.00232039,0.000773463,0.00232039,0.000773463,0.00232039,0.000773463,0.00232039,0.000773463
37,85.2216,1.43464,4.98225,0.00274,0.00128,0.25,0.24783,0.17348,1.00015,5.93203,0.00355,0.00234961,0.000783203,0.00234961,0.000783203,0.00234961,0.000783203,0.00234961,0.000783203
38,87.2443,1.14934,6.17022,0.00196,0.00254,0.5,0.33083,0.21498,0.95448,5.81134,0.00343,0.00237685,0.000792283,0.00237685,0.000792283,0.00237685,0.000792283,0.00237685,0.000792283
39,89.2864,1.5863,4.8144,0.00328,0.00252,0.5,0.33083,0.22328,1.14488,5.52366,0.00418,0.00240211,0.000800703,0.00240211,0.000800703,0.00240211,0.000800703,0.00240211,0.000800703
40,91.2143,1.62002,4.90211,0.00283,0.00252,0.5,0.33083,0.22328,1.14488,5.52366,0.00418,0.00242539,0.000808463,0.00242539,0.000808463,0.00242539,0.000808463,0.00242539,0.000808463
41,93.2218,1.63022,4.29795,0.00283,0.79638,0.25,0.45518,0.32828,1.08993,5.34537,0.00409,0.00244669,0.000815563,0.00244669,0.000815563,0.00244669,0.000815563,0.00244669,0.000815563
42,95.3175,1.38354,5.66877,0.00298,0.82672,0.25,0.58154,0.41286,1.0118,5.15601,0.00378,0.00246601,0.000822003,0.00246601,0.000822003,0.00246601,0.000822003,0.00246601,0.000822003
43,97.2543,1.4277,5.57529,0.00296,0.82672,0.25,0.58154,0.41286,1.0118,5.15601,0.00378,0.00248335,0.000827782,0.00248335,0.000827782,0.00248335,0.000827782,0.00248335,0.000827782
44,99.291,1.292,5.37974,0.00268,0.82078,0.25,0.64045,0.50613,1.19437,4.77968,0.00462,0.0024987,0.000832902,0.0024987,0.000832902,0.0024987,0.000832902,0.0024987,0.000832902
45,101.305,1.51249,4.06364,0.0029,0.82078,0.25,0.64045,0.50613,1.19437,4.77968,0.00462,0.00251208,0.000837361,0.00251208,0.000837361,0.00251208,0.000837361,0.00251208,0.000837361
46,103.329,1.45411,4.74006,0.00255,0.62394,0.5,0.645,0.47958,1.15913,4.63934,0.00432,0.00252348,0.00084116,0.00252348,0.00084116,0.00252348,0.00084116,0.00252348,0.00084116
47,105.277,1.32194,3.73554,0.00252,0.62394,0.5,0.645,0.47958,1.15913,4.63934,0.00432,0.0025329,0.000844299,0.0025329,0.000844299,0.0025329,0.000844299,0.0025329,0.000844299
48,107.326,1.3778,4.17371,0.00288,0.62355,0.5,0.67833,0.507,1.04216,4.47326,0.00383,0.00254033,0.000846778,0.00254033,0.000846778,0.00254033,0.000846778,0.00254033,0.000846778
49,109.312,1.36432,4.33455,0.00262,0.62355,0.5,0.67833,0.507,1.04216,4.47326,0.00383,0.00254579,0.000848596,0.00254579,0.000848596,0.00254579,0.000848596,0.00254579,0.000848596
