epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.98848,2.8916,5.33294,4.48455,0,0,0,0,3.37861,5.31852,4.15926,0,0,0
2,3.14035,3.41936,5.54008,4.17337,0,0,0,0,3.37863,5.31868,4.15889,9.5438e-07,9.5438e-07,9.5438e-07
3,3.28395,4.04278,5.69737,4.24134,0,0,0,0,3.37863,5.31868,4.15883,1.43752e-06,1.43752e-06,1.43752e-06
4,3.46993,3.50069,5.5735,4.25273,0,0,0,0,3.37863,5.31868,4.15853,1.44942e-06,1.44942e-06,1.44942e-06
5,3.76007,3.5905,5.64609,4.28155,0,0,0,0,3.37848,5.31896,4.15842,9.9008e-07,9.9008e-07,9.9008e-07
