epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77061,0.9692,2.35295,1.28708,0.58291,0.85,0.87794,0.63386,1.64439,1.02764,1.37294,0,0,0
2,2.9286,1.25092,3.26259,1.64444,0.58713,0.85,0.84838,0.6303,1.67555,1.02111,1.38748,7.973e-07,7.973e-07,7.973e-07
3,3.10481,1.35209,3.63907,1.61431,0.59018,0.85,0.85389,0.63388,1.69148,1.01483,1.39174,8.092e-07,8.092e-07,8.092e-07
